Ivan,Flyagin,flyagin00@mail.ru,89889484608,Web Development,$2000 - $4000,Hellofdsfdsfdsfdsfdsfsdf
fsdfds,fds,dsfs@dassa,dada,12,$100 - $2000,dsada
,,,,12,$100 - $2000,
,,,,12,$100 - $2000,
,,,,12,$100 - $2000,
,,,,12,$100 - $2000,
,,,,12,$100 - $2000,
,,,,12,$100 - $2000,
fds,fdsf,sdfs@dsds,dsda,12,$100 - $2000,dsaaddasd
fdsf,dsa,dsad@dsads,dasdsa,12,$100 - $2000,dasda
fs,fds,,fsdfs,12,$100 - $2000,fsfs
аавав,авыаы,,dsad,12,$100 - $2000,dasdadsad
fds,fds,fdsafsfsa@mail.ru,fdsfs,12,$100 - $2000,sdfdsfdsf
fds,fdsf,,fdsf,12,$100 - $2000,fsdf
авыаыв,ваыавыа,,,12,$100 - $2000,
0,fdsf,fsdfsd,,fdsfs,12,$100 - $2000,
0,fdsffs,,,,12,$100 - $2000,
0,fsfsdf,fdsf,,,12,$100 - $2000,
0,fsfsdfasda,fdsffdsfs,,fdsfdsfs,12,$100 - $2000,fdsfdsfdsds
0,fdsffs,dsadsad,fdsafsfsa@mail.ru,fdsfdsfdsf,12,$100 - $2000,dsadsadadsa
0,fdsfsd,dsadas,fdsafsfsa@mail.ru,fdsfsf,12,$100 - $2000,fdsfdsfsfs
0,fdsfsd,fsafsafa,fasfsafas@mail.ru,dadsdas,12,$100 - $2000,dasdasdasd
